quarter_end_date,filing_deadline,quarter_label,year
2013-03-31,2013-05-15,Q1_2013,2013
2013-06-30,2013-08-14,Q2_2013,2013
2013-09-30,2013-11-14,Q3_2013,2013
2013-12-31,2014-02-14,Q4_2013,2013
2014-03-31,2014-05-15,Q1_2014,2014
2014-06-30,2014-08-14,Q2_2014,2014
2014-09-30,2014-11-14,Q3_2014,2014
2014-12-31,2015-02-17,Q4_2014,2014
2015-03-31,2015-05-15,Q1_2015,2015
2015-06-30,2015-08-14,Q2_2015,2015
2015-09-30,2015-11-16,Q3_2015,2015
2015-12-31,2016-02-16,Q4_2015,2015
2016-03-31,2016-05-16,Q1_2016,2016
2016-06-30,2016-08-15,Q2_2016,2016
2016-09-30,2016-11-14,Q3_2016,2016
2016-12-31,2017-02-14,Q4_2016,2016
2017-03-31,2017-05-15,Q1_2017,2017
2017-06-30,2017-08-14,Q2_2017,2017
2017-09-30,2017-11-14,Q3_2017,2017
2017-12-31,2018-02-14,Q4_2017,2017
2018-03-31,2018-05-15,Q1_2018,2018
2018-06-30,2018-08-14,Q2_2018,2018
2018-09-30,2018-11-14,Q3_2018,2018
2018-12-31,2019-02-14,Q4_2018,2018
2019-03-31,2019-05-15,Q1_2019,2019
2019-06-30,2019-08-14,Q2_2019,2019
2019-09-30,2019-11-14,Q3_2019,2019
2019-12-31,2020-02-14,Q4_2019,2019
2020-03-31,2020-05-15,Q1_2020,2020
2020-06-30,2020-08-14,Q2_2020,2020
2020-09-30,2020-11-16,Q3_2020,2020
2020-12-31,2021-02-16,Q4_2020,2020
2021-03-31,2021-05-17,Q1_2021,2021
2021-06-30,2021-08-16,Q2_2021,2021
2021-09-30,2021-11-15,Q3_2021,2021
2021-12-31,2022-02-14,Q4_2021,2021
2022-03-31,2022-05-16,Q1_2022,2022
2022-06-30,2022-08-15,Q2_2022,2022
2022-09-30,2022-11-14,Q3_2022,2022
2022-12-31,2023-02-14,Q4_2022,2022
2023-03-31,2023-05-15,Q1_2023,2023
2023-06-30,2023-08-14,Q2_2023,2023
2023-09-30,2023-11-14,Q3_2023,2023
2023-12-31,2024-02-14,Q4_2023,2023
2024-03-31,2024-05-15,Q1_2024,2024
2024-06-30,2024-08-14,Q2_2024,2024
2024-09-30,2024-11-14,Q3_2024,2024
2024-12-31,2025-02-14,Q4_2024,2024
