# Manager Universe — 13F Timestamp Arbitrage Strategy
# ──────────────────────────────────────────────────────────────────────────────
# CRITICAL DESIGN NOTE:
# Manager universe selection is the primary source of model risk.
# The signal is only valid for funds where a single PM controls both
# the investment decision AND the filing timing. Funds where compliance
# teams handle 13F preparation independently of portfolio decisions
# produce filing_urgency noise, not signal.
#
# Filters applied (see config.py):
#   MIN_AUM_BILLION = 5.0   (below: sparse 13F coverage, many ETF positions)
#   MAX_AUM_BILLION = 50.0  (above: compliance-dominated, urgency → uniform)
#   MIN_POSITIONS   = 10    (below: not a proper equity book)
#   MAX_POSITIONS   = 200   (above: likely quant multi-strat)
#   MANAGER_TYPE    = ["hedge_fund", "family_office"]
#
# CIKs are real, publicly searchable on EDGAR. AUM figures are approximate
# as of 2022 13F filings (public disclosure).
# ──────────────────────────────────────────────────────────────────────────────
cik,manager_name,manager_type,estimated_aum_billion,primary_strategy,typical_position_count,filing_pattern_note,include_flag,exclusion_reason
0001649339,Pershing Square Capital Management,hedge_fund,14.5,activist,8,Always files near day 44-45; PM-controlled; single concentrated book,True,
0001336528,Third Point LLC,hedge_fund,18.2,long_short_equity,55,Files day 38-44; Dan Loeb personally reviews positions before filing,True,
0001040273,Elliott Investment Management,hedge_fund,55.8,activist,42,Late filer historically; Paul Singer personally controls position disclosure,False,AUM > 50B threshold
0001418819,Starboard Value LP,hedge_fund,7.3,activist,12,Consistently files day 40-45; activist positions held through filing window,True,
0001603923,ValueAct Capital Management,hedge_fund,16.1,activist,8,Files day 42-45; Jeff Ubben (prior) then Mason Morfit single-PM shop,True,
0001603780,Corvex Management LP,hedge_fund,9.8,activist,22,Late filer; Keith Meister runs concentrated book with direct PM filing oversight,True,
0001079114,Icahn Capital LP,hedge_fund,23.4,activist,15,Carl Icahn personally controls timing; often files day 43-45,True,
0001571123,Glenview Capital Management,hedge_fund,12.9,long_short_equity,48,Healthcare specialist; Larry Robbins PM; late-to-middle filing pattern,True,
0001514281,Tiger Global Management,hedge_fund,47.3,long_short_equity,95,Files middle range; PM-driven but compliance team involved above 40B,True,
0001103415,Appaloosa Management,hedge_fund,14.8,long_short_equity,38,David Tepper single PM; urgency varies with conviction cyclically,True,
0001649660,Dragoneer Investment Group,hedge_fund,9.2,long_short_equity,41,Technology focus; late filer for high-conviction growth positions,True,
0001535778,Coatue Management,hedge_fund,22.6,long_short_equity,85,Philippe Laffont PM; tech concentrated; filing urgency tracks position cycle,True,
